metric,value
avg_deal_delta,-5962.877551020408
best_deal_delta,22800
worst_deal_delta,-16798
automatic_percentage,0.0
manual_percentage,0.0
avg_composite_score,-528.6322867924529
total_listings,53
automatic_listings,0
manual_listings,0
