metric,value
avg_deal_delta,8316.68932038835
best_deal_delta,25505
worst_deal_delta,-15300
automatic_percentage,0.0
manual_percentage,0.0
avg_composite_score,838.3997352380952
total_listings,105
automatic_listings,0
manual_listings,0
