listing_id,source_url,listing_url,extraction_timestamp,detection_timestamp,data_quality_score,year,year_confidence,price,price_confidence,mileage,mileage_confidence,model,trim,model_confidence,trim_confidence,exterior,interior,exterior_confidence,interior_confidence,source,source_confidence,total_options,total_options_value,total_options_msrp,options_categories,options_list
11,https://www.autotempest.com/results?keywords=gts&localization=country&make=porsche&maxmiles=70000&maxprice=50000&maxyear=2018&minmiles=15000&minprice=20000&minyear=2015&model=macan&transmission=auto&zip=30214,https://www.cars.com/vehicledetail/d4363383-c5e2-43eb-a935-5fa0ad0a7418/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,2025-09-01T14:59:27.362259,2025-09-01T14:59:27.563539,1.0,2018,1.0,"$32,990",1.0,"58,735",1.0,Macan,GTS,1.0,1.0,Black,Black,1.0,1.0,AutoTempest,1.0,0,4900,15410,"performance, exterior, convenience, appearance, seating, technology","Sport Exhaust (PSE), Bi-Xenon Headlights with Dynamic Cornering, 18–19"" Upgraded Wheels, Limited Slip Differential (LSD), Park Assist, Sport Steering Wheel, Sport Seats / Adaptive Sport Seats, BOSE Surround Sound, PCM w/ Navigation, Heated Seats, PASM"
12,https://www.autotempest.com/results?keywords=gts&localization=country&make=porsche&maxmiles=70000&maxprice=50000&maxyear=2018&minmiles=15000&minprice=20000&minyear=2015&model=macan&transmission=auto&zip=30214,https://www.cars.com/vehicledetail/6c993de0-3c5d-49f5-9380-74f082296a71/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,2025-09-01T14:59:27.362348,2025-09-01T14:59:27.581381,1.0,2018,1.0,"$32,499",1.0,"56,941",1.0,Macan,GTS,1.0,1.0,Night Blue Metallic,Agate Grey,1.0,1.0,AutoTempest,1.0,0,4900,15410,"performance, exterior, convenience, appearance, comfort, seating, technology","Sport Exhaust (PSE), Bi-Xenon Headlights with Dynamic Cornering, 18–19"" Upgraded Wheels, Limited Slip Differential (LSD), Park Assist, Sport Steering Wheel, Auto-dim Mirrors & Rain Sensor, Sport Seats / Adaptive Sport Seats, BOSE Surround Sound, PCM w/ Navigation, Heated Seats, PASM"
13,https://www.autotempest.com/results?keywords=gts&localization=country&make=porsche&maxmiles=70000&maxprice=50000&maxyear=2018&minmiles=15000&minprice=20000&minyear=2015&model=macan&transmission=auto&zip=30214,https://www.cars.com/vehicledetail/2d1fb5b9-b795-463d-a977-171898d421f0/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,2025-09-01T14:59:27.362429,2025-09-01T14:59:27.596608,1.0,2018,1.0,"$43,998",1.0,"50,022",1.0,Macan,GTS,1.0,1.0,White,White,1.0,1.0,AutoTempest,1.0,0,4900,15410,"performance, exterior, convenience, appearance, comfort, seating, technology","Sport Exhaust (PSE), Bi-Xenon Headlights with Dynamic Cornering, 18–19"" Upgraded Wheels, Limited Slip Differential (LSD), Park Assist, Sport Steering Wheel, Auto-dim Mirrors & Rain Sensor, Sport Seats / Adaptive Sport Seats, BOSE Surround Sound, PCM w/ Navigation, Heated Seats, PASM"
14,https://www.autotempest.com/results?keywords=gts&localization=country&make=porsche&maxmiles=70000&maxprice=50000&maxyear=2018&minmiles=15000&minprice=20000&minyear=2015&model=macan&transmission=auto&zip=30214,https://www.cars.com/vehicledetail/d58449f2-c970-4702-8559-c9539a72a89d/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,2025-09-01T14:59:27.362518,2025-09-01T14:59:27.612474,1.0,2017,1.0,"$29,525",1.0,"67,582",1.0,Macan,GTS,1.0,1.0,White,Black,1.0,1.0,AutoTempest,1.0,0,4900,15410,"performance, exterior, convenience, appearance, comfort, seating, technology","Sport Exhaust (PSE), Bi-Xenon Headlights with Dynamic Cornering, 18–19"" Upgraded Wheels, Limited Slip Differential (LSD), Park Assist, Sport Steering Wheel, Auto-dim Mirrors & Rain Sensor, Sport Seats / Adaptive Sport Seats, BOSE Surround Sound, PCM w/ Navigation, Heated Seats, PASM"
15,https://www.autotempest.com/results?keywords=gts&localization=country&make=porsche&maxmiles=70000&maxprice=50000&maxyear=2018&minmiles=15000&minprice=20000&minyear=2015&model=macan&transmission=auto&zip=30214,https://www.cars.com/vehicledetail/0c19c35e-7779-4d08-9929-c143cc2ee3c0/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,2025-09-01T14:59:27.362595,2025-09-01T14:59:27.631828,1.0,2017,1.0,"$29,995",1.0,"64,440",1.0,Macan,GTS,1.0,1.0,White,White,1.0,1.0,AutoTempest,1.0,0,3500,8805,"performance, exterior, convenience, appearance, seating","Sport Exhaust (PSE), Bi-Xenon Headlights with Dynamic Cornering, 18–19"" Upgraded Wheels, Limited Slip Differential (LSD), Park Assist, Sport Steering Wheel, Sport Seats / Adaptive Sport Seats, Heated Seats"
16,https://www.autotempest.com/results?keywords=gts&localization=country&make=porsche&maxmiles=70000&maxprice=50000&maxyear=2018&minmiles=15000&minprice=20000&minyear=2015&model=macan&transmission=auto&zip=30214,https://www.cars.com/vehicledetail/9e1644ec-7e6b-4334-bb3f-7a01e531ba9b/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,2025-09-01T14:59:27.362679,2025-09-01T14:59:27.654964,1.0,2017,1.0,"$26,996",1.0,"69,747",1.0,Macan,GTS,1.0,1.0,Black,Black,1.0,1.0,AutoTempest,1.0,0,4600,12145,"performance, exterior, convenience, appearance, seating, technology","Sport Exhaust (PSE), Bi-Xenon Headlights with Dynamic Cornering, 18–19"" Upgraded Wheels, Limited Slip Differential (LSD), Park Assist, Sport Steering Wheel, Sport Seats / Adaptive Sport Seats, BOSE Surround Sound, Heated Seats, PASM"
17,https://www.autotempest.com/results?keywords=gts&localization=country&make=porsche&maxmiles=70000&maxprice=50000&maxyear=2018&minmiles=15000&minprice=20000&minyear=2015&model=macan&transmission=auto&zip=30214,https://www.cars.com/vehicledetail/d7623d6b-c854-4b42-bbb3-425461f23f93/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,2025-09-01T14:59:27.363353,2025-09-01T14:59:27.677215,1.0,2017,1.0,"$29,995",1.0,"68,627",1.0,Macan,GTS,1.0,1.0,Black,Black,1.0,1.0,AutoTempest,1.0,0,4100,13420,"performance, exterior, convenience, appearance, seating, technology","Sport Exhaust (PSE), Bi-Xenon Headlights with Dynamic Cornering, 18–19"" Upgraded Wheels, Limited Slip Differential (LSD), Park Assist, Sport Steering Wheel, Sport Seats / Adaptive Sport Seats, BOSE Surround Sound, PCM w/ Navigation, Heated Seats"
18,https://www.autotempest.com/results?keywords=gts&localization=country&make=porsche&maxmiles=70000&maxprice=50000&maxyear=2018&minmiles=15000&minprice=20000&minyear=2015&model=macan&transmission=auto&zip=30214,https://www.cars.com/vehicledetail/43973b88-897f-40c9-a186-3f037ad8cdb4/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,2025-09-01T14:59:27.363441,2025-09-01T14:59:27.694010,1.0,2018,1.0,"$37,488",1.0,"39,343",1.0,Macan,GTS,1.0,1.0,Carmine Red,Black,1.0,1.0,AutoTempest,1.0,0,4300,10795,"performance, exterior, convenience, appearance, seating","Sport Exhaust (PSE), Bi-Xenon Headlights with Dynamic Cornering, 18–19"" Upgraded Wheels, Limited Slip Differential (LSD), Park Assist, Sport Steering Wheel, Sport Seats / Adaptive Sport Seats, Heated Seats, PASM"
19,https://www.autotempest.com/results?keywords=gts&localization=country&make=porsche&maxmiles=70000&maxprice=50000&maxyear=2018&minmiles=15000&minprice=20000&minyear=2015&model=macan&transmission=auto&zip=30214,https://www.cars.com/vehicledetail/c26bd273-09ee-4838-9250-528515d85cb0/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,2025-09-01T14:59:27.363521,2025-09-01T14:59:27.714973,1.0,2018,1.0,"$37,990",1.0,"45,702",1.0,Macan,GTS,1.0,1.0,Jet Black Metallic,Black,1.0,1.0,AutoTempest,1.0,0,4900,15410,"performance, exterior, convenience, appearance, seating, technology","Sport Exhaust (PSE), Bi-Xenon Headlights with Dynamic Cornering, 18–19"" Upgraded Wheels, Limited Slip Differential (LSD), Park Assist, Sport Steering Wheel, Sport Seats / Adaptive Sport Seats, BOSE Surround Sound, PCM w/ Navigation, Heated Seats, PASM"
20,https://www.autotempest.com/results?keywords=gts&localization=country&make=porsche&maxmiles=70000&maxprice=50000&maxyear=2018&minmiles=15000&minprice=20000&minyear=2015&model=macan&transmission=auto&zip=30214,https://www.cars.com/vehicledetail/05666328-f66b-44f6-879b-c69d6f355184/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,2025-09-01T14:59:27.363600,2025-09-01T14:59:27.736963,1.0,2017,1.0,"$27,695",1.0,"69,077",1.0,Macan,GTS,1.0,1.0,Black,Black,1.0,1.0,AutoTempest,1.0,0,2200,9965,"exterior, appearance, technology, seating, performance","Bi-Xenon Headlights with Dynamic Cornering, 18–19"" Upgraded Wheels, Sport Steering Wheel, BOSE Surround Sound, PCM w/ Navigation, Heated Seats, PASM"
