metric,value
avg_deal_delta,8206.87
best_deal_delta,25505
worst_deal_delta,-15300
automatic_percentage,0.0
manual_percentage,0.0
avg_composite_score,819.1311718446602
total_listings,103
automatic_listings,0
manual_listings,0
