listing_id,source_url,listing_url,extraction_timestamp,detection_timestamp,data_quality_score,year,year_confidence,price,price_confidence,mileage,mileage_confidence,model,trim,model_confidence,trim_confidence,exterior,interior,exterior_confidence,interior_confidence,source,source_confidence,total_options,total_options_value,total_options_msrp,options_categories,options_list,fair_value_usd,fair_value_calculation,asking_price_usd,deal_delta_usd,deal_percentage,deal_quality,composite_score,ranking_timestamp,rank
15,https://www.autotempest.com/results?keywords=gts&localization=country&make=porsche&maxmiles=70000&maxprice=50000&maxyear=2018&minmiles=15000&minprice=20000&minyear=2015&model=macan&transmission=auto&zip=30214,https://www.cars.com/vehicledetail/0c19c35e-7779-4d08-9929-c143cc2ee3c0/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,2025-09-01T14:59:27.362595,2025-09-01T14:59:27.631828,1.0,2017,1.0,"$29,995",1.0,"64,440",1.0,Macan,GTS,1.0,1.0,White,White,1.0,1.0,AutoTempest,1.0,0,3500,8805,"performance, exterior, convenience, appearance, seating","Sport Exhaust (PSE), Bi-Xenon Headlights with Dynamic Cornering, 18–19"" Upgraded Wheels, Limited Slip Differential (LSD), Park Assist, Sport Steering Wheel, Sport Seats / Adaptive Sport Seats, Heated Seats",27700,"{'base_value': 30500, 'year_adjustment': -2500, 'model_premium': 0, 'mileage_adjustment': -500, 'color_premium': 200, 'calculation_timestamp': '2025-09-01T14:59:28.075077'}",29995,-2295,-8.28519855595668,Overpriced,-205.77399999999997,2025-09-01T14:59:28.081431,15
10,https://www.autotempest.com/results?keywords=gts&localization=country&make=porsche&maxmiles=70000&maxprice=50000&maxyear=2018&minmiles=15000&minprice=20000&minyear=2015&model=macan&transmission=auto&zip=30214,https://www.cars.com/vehicledetail/0828ef38-16b0-4137-8980-aeb32a375764/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,2025-09-01T14:59:27.362181,2025-09-01T14:59:27.549452,1.0,2018,1.0,"$29,981",1.0,"61,746",1.0,Macan,GTS,1.0,1.0,Black,Black,1.0,1.0,AutoTempest,1.0,0,5900,16370,"performance, exterior, convenience, appearance, seating, technology","Sport Exhaust (PSE), Bi-Xenon Headlights with Dynamic Cornering, 18–19"" Upgraded Wheels, Sport Chrono Package Plus, Limited Slip Differential (LSD), Park Assist, Sport Steering Wheel, Sport Seats / Adaptive Sport Seats, BOSE Surround Sound, PCM w/ Navigation, Heated Seats, PASM",27500,"{'base_value': 30500, 'year_adjustment': -3000, 'model_premium': 0, 'mileage_adjustment': -500, 'color_premium': 500, 'calculation_timestamp': '2025-09-01T14:59:28.075027'}",29981,-2481,-9.021818181818182,Overpriced,-224.0946,2025-09-01T14:59:28.081401,16
8,https://www.autotempest.com/results?keywords=gts&localization=country&make=porsche&maxmiles=70000&maxprice=50000&maxyear=2018&minmiles=15000&minprice=20000&minyear=2015&model=macan&transmission=auto&zip=30214,https://www.cars.com/vehicledetail/ef9acea6-752c-48cd-bf1f-b4951b1ccbe6/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,2025-09-01T14:59:27.362008,2025-09-01T14:59:27.508865,1.0,2018,1.0,"$30,990",1.0,"63,003",1.0,Macan,GTS,1.0,1.0,Black,Black,1.0,1.0,AutoTempest,1.0,0,4900,15410,"performance, exterior, convenience, appearance, seating, technology","Sport Exhaust (PSE), Bi-Xenon Headlights with Dynamic Cornering, 18–19"" Upgraded Wheels, Limited Slip Differential (LSD), Park Assist, Sport Steering Wheel, Sport Seats / Adaptive Sport Seats, BOSE Surround Sound, PCM w/ Navigation, Heated Seats, PASM",27500,"{'base_value': 30500, 'year_adjustment': -3000, 'model_premium': 0, 'mileage_adjustment': -500, 'color_premium': 500, 'calculation_timestamp': '2025-09-01T14:59:28.075006'}",30990,-3490,-12.690909090909091,Overpriced,-325.1203,2025-09-01T14:59:28.081394,17
2,https://www.autotempest.com/results?keywords=gts&localization=country&make=porsche&maxmiles=70000&maxprice=50000&maxyear=2018&minmiles=15000&minprice=20000&minyear=2015&model=macan&transmission=auto&zip=30214,https://www.cars.com/vehicledetail/e5b81ba0-e8fe-4712-b8ed-ff497b3375d7/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,2025-09-01T14:59:27.360279,2025-09-01T14:59:27.395013,1.0,2017,1.0,"$31,895",1.0,"58,428",1.0,Macan,GTS,1.0,1.0,White,Black,1.0,1.0,AutoTempest,1.0,0,4900,15410,"performance, exterior, convenience, appearance, seating, technology","Sport Exhaust (PSE), Bi-Xenon Headlights with Dynamic Cornering, 18–19"" Upgraded Wheels, Limited Slip Differential (LSD), Park Assist, Sport Steering Wheel, Sport Seats / Adaptive Sport Seats, BOSE Surround Sound, PCM w/ Navigation, Heated Seats, PASM",27900,"{'base_value': 30500, 'year_adjustment': -2500, 'model_premium': 0, 'mileage_adjustment': -500, 'color_premium': 400, 'calculation_timestamp': '2025-09-01T14:59:28.074930'}",31895,-3995,-14.31899641577061,Overpriced,-375.1728,2025-09-01T14:59:28.081368,18
22,https://www.autotempest.com/results?keywords=gts&localization=country&make=porsche&maxmiles=70000&maxprice=50000&maxyear=2018&minmiles=15000&minprice=20000&minyear=2015&model=macan&transmission=auto&zip=30214,https://www.cars.com/vehicledetail/9d15aa65-197d-4e7b-8bf9-4a368f35464f/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,2025-09-01T14:59:27.363748,2025-09-01T14:59:27.765239,1.0,2018,1.0,"$31,500",1.0,"52,372",1.0,Macan,Base,1.0,1.0,Rhodium Silver Metallic,Black,1.0,1.0,AutoTempest,1.0,0,4100,13420,"performance, exterior, convenience, appearance, comfort, seating, technology","Sport Exhaust (PSE), Bi-Xenon Headlights with Dynamic Cornering, 18–19"" Upgraded Wheels, Limited Slip Differential (LSD), Park Assist, Sport Steering Wheel, Auto-dim Mirrors & Rain Sensor, Sport Seats / Adaptive Sport Seats, BOSE Surround Sound, PCM w/ Navigation, Heated Seats",27200,"{'base_value': 30500, 'year_adjustment': -3000, 'model_premium': 0, 'mileage_adjustment': -500, 'color_premium': 200, 'calculation_timestamp': '2025-09-01T14:59:28.075149'}",31500,-4300,-15.808823529411764,Overpriced,-405.05719999999997,2025-09-01T14:59:28.081462,19
28,https://www.autotempest.com/results?keywords=gts&localization=country&make=porsche&maxmiles=70000&maxprice=50000&maxyear=2018&minmiles=15000&minprice=20000&minyear=2015&model=macan&transmission=auto&zip=30214,https://www.cars.com/vehicledetail/2aff18c7-d563-4019-b5ed-c07e83773f6c/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,2025-09-01T14:59:27.364213,2025-09-01T14:59:27.882303,1.0,2017,1.0,"$32,999",1.0,"58,456",1.0,Macan,GTS,1.0,1.0,Black,Black,1.0,1.0,AutoTempest,1.0,0,4900,15410,"performance, exterior, convenience, appearance, seating, technology","Sport Exhaust (PSE), Bi-Xenon Headlights with Dynamic Cornering, 18–19"" Upgraded Wheels, Limited Slip Differential (LSD), Park Assist, Sport Steering Wheel, Sport Seats / Adaptive Sport Seats, BOSE Surround Sound, PCM w/ Navigation, Heated Seats, PASM",28000,"{'base_value': 30500, 'year_adjustment': -2500, 'model_premium': 0, 'mileage_adjustment': -500, 'color_premium': 500, 'calculation_timestamp': '2025-09-01T14:59:28.075209'}",32999,-4999,-17.85357142857143,Overpriced,-475.5756,2025-09-01T14:59:28.081486,20
44,https://www.autotempest.com/results?keywords=gts&localization=country&make=porsche&maxmiles=70000&maxprice=50000&maxyear=2018&minmiles=15000&minprice=20000&minyear=2015&model=macan&transmission=auto&zip=30214,https://www.truecar.com/used-cars-for-sale/listing/WP1AG2A54JLB65019/?referrer_id=autotempest,2025-09-01T14:59:27.366250,2025-09-01T14:59:28.053617,1.0,2018,1.0,"$32,538",1.0,"65,712",1.0,Macan,GTS,1.0,1.0,Carmine Red,Black,1.0,1.0,AutoTempest,1.0,0,1000,2520,"convenience, performance","Park Assist, PASM",27200,"{'base_value': 30500, 'year_adjustment': -3000, 'model_premium': 0, 'mileage_adjustment': -500, 'color_premium': 200, 'calculation_timestamp': '2025-09-01T14:59:28.075368'}",32538,-5338,-19.625,Overpriced,-510.1912000000001,2025-09-01T14:59:28.081549,21
11,https://www.autotempest.com/results?keywords=gts&localization=country&make=porsche&maxmiles=70000&maxprice=50000&maxyear=2018&minmiles=15000&minprice=20000&minyear=2015&model=macan&transmission=auto&zip=30214,https://www.cars.com/vehicledetail/d4363383-c5e2-43eb-a935-5fa0ad0a7418/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,2025-09-01T14:59:27.362259,2025-09-01T14:59:27.563539,1.0,2018,1.0,"$32,990",1.0,"58,735",1.0,Macan,GTS,1.0,1.0,Black,Black,1.0,1.0,AutoTempest,1.0,0,4900,15410,"performance, exterior, convenience, appearance, seating, technology","Sport Exhaust (PSE), Bi-Xenon Headlights with Dynamic Cornering, 18–19"" Upgraded Wheels, Limited Slip Differential (LSD), Park Assist, Sport Steering Wheel, Sport Seats / Adaptive Sport Seats, BOSE Surround Sound, PCM w/ Navigation, Heated Seats, PASM",27500,"{'base_value': 30500, 'year_adjustment': -3000, 'model_premium': 0, 'mileage_adjustment': -500, 'color_premium': 500, 'calculation_timestamp': '2025-09-01T14:59:28.075037'}",32990,-5490,-19.963636363636365,Overpriced,-524.6935000000001,2025-09-01T14:59:28.081405,22
12,https://www.autotempest.com/results?keywords=gts&localization=country&make=porsche&maxmiles=70000&maxprice=50000&maxyear=2018&minmiles=15000&minprice=20000&minyear=2015&model=macan&transmission=auto&zip=30214,https://www.cars.com/vehicledetail/6c993de0-3c5d-49f5-9380-74f082296a71/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,2025-09-01T14:59:27.362348,2025-09-01T14:59:27.581381,1.0,2018,1.0,"$32,499",1.0,"56,941",1.0,Macan,GTS,1.0,1.0,Night Blue Metallic,Agate Grey,1.0,1.0,AutoTempest,1.0,0,4900,15410,"performance, exterior, convenience, appearance, comfort, seating, technology","Sport Exhaust (PSE), Bi-Xenon Headlights with Dynamic Cornering, 18–19"" Upgraded Wheels, Limited Slip Differential (LSD), Park Assist, Sport Steering Wheel, Auto-dim Mirrors & Rain Sensor, Sport Seats / Adaptive Sport Seats, BOSE Surround Sound, PCM w/ Navigation, Heated Seats, PASM",27000,"{'base_value': 30500, 'year_adjustment': -3000, 'model_premium': 0, 'mileage_adjustment': -500, 'color_premium': 0, 'calculation_timestamp': '2025-09-01T14:59:28.075047'}",32499,-5499,-20.366666666666667,Overpriced,-525.4141000000001,2025-09-01T14:59:28.081409,23
36,https://www.autotempest.com/results?keywords=gts&localization=country&make=porsche&maxmiles=70000&maxprice=50000&maxyear=2018&minmiles=15000&minprice=20000&minyear=2015&model=macan&transmission=auto&zip=30214,https://www.cars.com/vehicledetail/2e27abca-3309-4057-a666-7ff1f59bb520/?aff=atempst&utm_campaign=atempst&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,2025-09-01T14:59:27.364806,2025-09-01T14:59:28.028860,1.0,2018,1.0,"$33,000",1.0,"57,000",1.0,Macan,GTS,1.0,1.0,Black,Black,1.0,1.0,AutoTempest,1.0,0,1150,6615,"exterior, appearance, technology, seating","18–19"" Upgraded Wheels, Sport Steering Wheel, BOSE Surround Sound, PCM w/ Navigation, Heated Seats",27500,"{'base_value': 30500, 'year_adjustment': -3000, 'model_premium': 0, 'mileage_adjustment': -500, 'color_premium': 500, 'calculation_timestamp': '2025-09-01T14:59:28.075289'}",33000,-5500,-20.0,Overpriced,-525.5200000000001,2025-09-01T14:59:28.081519,24
