metric,value
avg_deal_delta,4754.9047619047615
best_deal_delta,26505
worst_deal_delta,-82095
automatic_percentage,0.0
manual_percentage,0.0
avg_composite_score,703.1426751243781
total_listings,201
automatic_listings,0
manual_listings,0
