listing_id,source_url,listing_url,extraction_timestamp,detection_timestamp,data_quality_score,year,year_confidence,price,price_confidence,mileage,mileage_confidence,model_trim,model_trim_confidence,exterior_color,interior_color,exterior_color_confidence,interior_color_confidence,source,source_confidence,total_options,total_options_value,total_options_msrp,options_categories,options_list,fair_value_usd,fair_value_calculation,asking_price_usd,deal_delta_usd,deal_percentage,deal_quality
11,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=cayman&transmission=auto&zip=30214,https://www.ebay.com/itm/376487964262?hash=item57a86e6e66%3Ag%3AkE4AAeSw8RloegD7&mkevt=1&mkcid=1&mkrid=711-53200-19255-0&campid=5337650957&customid=&toolid=10049,2025-08-30T15:32:06.216333,2025-08-30T15:32:06.320679,1.0,2010,1.0,"$30,900",1.0,"61,281",1.0,Cayman Base,1.0,Gray,Sand Beige,1.0,1.0,AutoTempest,1.0,0,0,0,,,31000,"{'base_value': 30500, 'year_adjustment': 1000, 'model_premium': 0, 'mileage_adjustment': -500, 'color_premium': 0, 'calculation_timestamp': '2025-08-30T15:32:07.126780'}",30900,100,0.3225806451612903,Good Deal
12,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=cayman&transmission=auto&zip=30214,https://www.truecar.com/used-cars-for-sale/listing/WP0AB2A88BU780243/?referrer_id=autotempest,2025-08-30T15:32:06.216697,2025-08-30T15:32:06.321851,1.0,2011,1.0,"$43,973",1.0,"71,161",1.0,Cayman S,1.0,Gray,Black,1.0,1.0,AutoTempest,1.0,0,300,1350,technology,BOSE Surround Sound,30700,"{'base_value': 30500, 'year_adjustment': 500, 'model_premium': 0, 'mileage_adjustment': -500, 'color_premium': 200, 'calculation_timestamp': '2025-08-30T15:32:07.126790'}",43973,-13273,-43.23452768729641,Overpriced
13,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=cayman&transmission=auto&zip=30214,https://www.ebay.com/itm/226919231938?hash=item34d570b1c2%3Ag%3AHkEAAOSwieBnwMmU&mkevt=1&mkcid=1&mkrid=711-53200-19255-0&campid=5337650957&customid=&toolid=10049,2025-08-30T15:32:06.216803,2025-08-30T15:32:06.323034,1.0,2010,1.0,"$41,000",1.0,"13,085",1.0,Cayman Base,1.0,White,Tan,1.0,1.0,AutoTempest,1.0,0,0,0,,,32700,"{'base_value': 30500, 'year_adjustment': 1000, 'model_premium': 0, 'mileage_adjustment': 1000, 'color_premium': 200, 'calculation_timestamp': '2025-08-30T15:32:07.126800'}",41000,-8300,-25.382262996941897,Overpriced
14,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=boxster&transmission=auto&zip=30214,https://www.cars.com/vehicledetail/dccb8902-a155-44e3-bf33-6f563cb8bb77/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,2025-08-30T15:32:06.216939,2025-08-30T15:32:06.324282,1.0,2012,1.0,"$29,900",1.0,"86,375",1.0,Boxster S,1.0,Aqua Blue Metallic,TAN,1.0,1.0,AutoTempest,1.0,0,3600,11895,"performance, exterior, convenience, technology, seating","Sport Exhaust (PSE), Bi-Xenon Headlights with Dynamic Cornering, 18–19"" Upgraded Wheels, Limited Slip Differential (LSD), Park Assist, BOSE Surround Sound, PCM w/ Navigation, Heated Seats",29000,"{'base_value': 30500, 'year_adjustment': 0, 'model_premium': 0, 'mileage_adjustment': -1500, 'color_premium': 0, 'calculation_timestamp': '2025-08-30T15:32:07.126809'}",29900,-900,-3.103448275862069,Fair Price
15,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=boxster&transmission=auto&zip=30214,https://www.cars.com/vehicledetail/9887f1df-72af-47b2-b670-d9ef90a28773/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,2025-08-30T15:32:06.217041,2025-08-30T15:32:06.338120,1.0,2011,1.0,"$18,885",1.0,"82,539",1.0,Boxster Base,1.0,Black,Black,1.0,1.0,AutoTempest,1.0,0,1750,9000,"exterior, seating, technology","Bi-Xenon Headlights with Dynamic Cornering, 18–19"" Upgraded Wheels, Sport Seats / Adaptive Sport Seats, BOSE Surround Sound, PCM w/ Navigation",30000,"{'base_value': 30500, 'year_adjustment': 500, 'model_premium': 0, 'mileage_adjustment': -1500, 'color_premium': 500, 'calculation_timestamp': '2025-08-30T15:32:07.126818'}",18885,11115,37.05,Excellent Deal
16,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=boxster&transmission=auto&zip=30214,https://www.cars.com/vehicledetail/9911a576-8804-4fd7-a62d-61ca63768259/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,2025-08-30T15:32:06.217166,2025-08-30T15:32:06.346629,1.0,2009,1.0,"$39,999",1.0,"14,832",1.0,Boxster S,1.0,Silver,Black,1.0,1.0,AutoTempest,1.0,0,2200,10475,"performance, exterior, technology, seating","Sport Exhaust (PSE), Bi-Xenon Headlights with Dynamic Cornering, 18–19"" Upgraded Wheels, BOSE Surround Sound, PCM w/ Navigation, Heated Seats",33200,"{'base_value': 30500, 'year_adjustment': 1500, 'model_premium': 0, 'mileage_adjustment': 1000, 'color_premium': 200, 'calculation_timestamp': '2025-08-30T15:32:07.126828'}",39999,-6799,-20.4789156626506,Overpriced
17,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=boxster&transmission=auto&zip=30214,https://www.cars.com/vehicledetail/23f987f3-0a6c-4cfa-89b5-5733a0b4cea0/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,2025-08-30T15:32:06.217273,2025-08-30T15:32:06.357898,1.0,2011,1.0,"$31,990",1.0,"48,354",1.0,Boxster Base,1.0,White,Sand Beige,1.0,1.0,AutoTempest,1.0,0,3600,9625,"performance, exterior, seating, technology","Sport Exhaust (PSE), Bi-Xenon Headlights with Dynamic Cornering, 18–19"" Upgraded Wheels, Limited Slip Differential (LSD), Sport Seats / Adaptive Sport Seats, BOSE Surround Sound, Heated Seats",31200,"{'base_value': 30500, 'year_adjustment': 500, 'model_premium': 0, 'mileage_adjustment': 0, 'color_premium': 200, 'calculation_timestamp': '2025-08-30T15:32:07.126837'}",31990,-790,-2.532051282051282,Fair Price
18,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=boxster&transmission=auto&zip=30214,https://www.cars.com/vehicledetail/bef1535e-4d4d-481e-8ca8-4e69dd69d141/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,2025-08-30T15:32:06.217361,2025-08-30T15:32:06.373868,1.0,2011,1.0,"$30,800",1.0,"76,250",1.0,Boxster S,1.0,Gray,Gray,1.0,1.0,AutoTempest,1.0,0,2700,12000,"performance, exterior, seating, technology","Sport Exhaust (PSE), Bi-Xenon Headlights with Dynamic Cornering, 18–19"" Upgraded Wheels, Sport Seats / Adaptive Sport Seats, BOSE Surround Sound, PCM w/ Navigation, Heated Seats",29500,"{'base_value': 30500, 'year_adjustment': 500, 'model_premium': 0, 'mileage_adjustment': -1500, 'color_premium': 0, 'calculation_timestamp': '2025-08-30T15:32:07.126846'}",30800,-1300,-4.406779661016949,Overpriced
19,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=boxster&transmission=auto&zip=30214,https://www.cars.com/vehicledetail/00913ac2-c363-4c68-be09-13193ee12b64/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,2025-08-30T15:32:06.217442,2025-08-30T15:32:06.389402,1.0,2010,1.0,"$26,893",1.0,"33,497",1.0,Boxster Base,1.0,Silver,Black,1.0,1.0,AutoTempest,1.0,0,800,3360,"exterior, seating","Bi-Xenon Headlights with Dynamic Cornering, 18–19"" Upgraded Wheels, Heated Seats",31700,"{'base_value': 30500, 'year_adjustment': 1000, 'model_premium': 0, 'mileage_adjustment': 0, 'color_premium': 200, 'calculation_timestamp': '2025-08-30T15:32:07.126855'}",26893,4807,15.164037854889589,Excellent Deal
20,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=boxster&transmission=auto&zip=30214,https://www.cars.com/vehicledetail/d58b0ed4-43af-43c6-aec4-1fec0d7b3dfc/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,2025-08-30T15:32:06.217522,2025-08-30T15:32:06.395664,1.0,2011,1.0,"$41,998",1.0,"43,076",1.0,Boxster S,1.0,Gray,Black,1.0,1.0,AutoTempest,1.0,0,3750,12390,"performance, exterior, seating, technology","Sport Exhaust (PSE), Bi-Xenon Headlights with Dynamic Cornering, 18–19"" Upgraded Wheels, Limited Slip Differential (LSD), Sport Seats / Adaptive Sport Seats, BOSE Surround Sound, PCM w/ Navigation",31200,"{'base_value': 30500, 'year_adjustment': 500, 'model_premium': 0, 'mileage_adjustment': 0, 'color_premium': 200, 'calculation_timestamp': '2025-08-30T15:32:07.126863'}",41998,-10798,-34.60897435897436,Overpriced
