metric,value
avg_deal_delta,2284.266666666667
best_deal_delta,18700
worst_deal_delta,-10798
automatic_percentage,0.0
manual_percentage,0.0
avg_composite_score,237.339
total_listings,16
automatic_listings,0
manual_listings,0
