metric,value
avg_deal_delta,10941.36
best_deal_delta,26505
worst_deal_delta,-16400
automatic_percentage,0.0
manual_percentage,0.0
avg_composite_score,1546.4577539215688
total_listings,102
automatic_listings,0
manual_listings,0
