metric,value
avg_deal_delta,-1300.0
best_deal_delta,-1300
worst_deal_delta,-1300
automatic_percentage,0.0
manual_percentage,0.0
avg_composite_score,-124.5
total_listings,1
automatic_listings,0
manual_listings,0
