metric,value
avg_deal_delta,-1431.720430107527
best_deal_delta,26800
worst_deal_delta,-82095
automatic_percentage,0.0
manual_percentage,0.0
avg_composite_score,-110.80519899999999
total_listings,100
automatic_listings,0
manual_listings,0
