source_url,listing_url,title,price,year,model,mileage,collection_timestamp,scraping_method,raw_text,raw_html,processed_timestamp,processing_status
https://www.autotempest.com/results?make=porsche&model=cayman&year_min=2009&year_max=2012,https://autos.lotlinx.com?ad=WP0AB2A82GK185505&request=AdLink&pubId=12000&url=1&channelid=autotempest,2016 Porsche Cayman S,"$64,825",Year not shown,Cayman,"22,137 mi.
Jul 18th",2025-08-26T07:00:39.849798,autotempest_real,"2016 Porsche Cayman S Year not shown Cayman $64,825 22,137 mi.
Jul 18th","<html><body>2016 Porsche Cayman S Year not shown Cayman $64,825 22,137 mi.
Jul 18th</body></html>",2025-08-26T07:00:46.817699,success
https://www.autotempest.com/results?make=porsche&model=cayman&year_min=2009&year_max=2012,https://revyautos.com/listings/1k0azx7y36m5bs7vs55zz2?utm_source=autotempest&utm_campaign=catalog,2014 Porsche Cayman S S,"$43,100",Year not shown,Cayman,"69,500 mi.
Today",2025-08-26T07:00:39.892332,autotempest_real,"2014 Porsche Cayman S S Year not shown Cayman $43,100 69,500 mi.
Today","<html><body>2014 Porsche Cayman S S Year not shown Cayman $43,100 69,500 mi.
Today</body></html>",2025-08-26T07:00:46.817714,success
https://www.autotempest.com/results?make=porsche&model=cayman&year_min=2009&year_max=2012,https://privateauto.com/listing/2007-porsche-cayman-vwfebeslvw4?utm_source=autotempest&utm_medium=referral&utm_campaign=autotempest_listings,2007 Porsche Cayman 2D Coupe S,"$32,000",Year not shown,Cayman,"74,948 mi.
7 days ago",2025-08-26T07:00:39.928912,autotempest_real,"2007 Porsche Cayman 2D Coupe S Year not shown Cayman $32,000 74,948 mi.
7 days ago","<html><body>2007 Porsche Cayman 2D Coupe S Year not shown Cayman $32,000 74,948 mi.
7 days ago</body></html>",2025-08-26T07:00:46.817717,success
https://www.autotempest.com/results?make=porsche&model=cayman&year_min=2009&year_max=2012,https://privateauto.com/listing/2008-porsche-cayman-vwft1tf2pzw?utm_source=autotempest&utm_medium=referral&utm_campaign=autotempest_listings,2008 Porsche Cayman S,"$38,500",Year not shown,Cayman,"70,000 mi.
Jul 2nd",2025-08-26T07:00:40.142542,autotempest_real,"2008 Porsche Cayman S Year not shown Cayman $38,500 70,000 mi.
Jul 2nd","<html><body>2008 Porsche Cayman S Year not shown Cayman $38,500 70,000 mi.
Jul 2nd</body></html>",2025-08-26T07:00:46.817720,success
https://www.autotempest.com/results?make=porsche&model=cayman&year_min=2009&year_max=2012,https://privateauto.com/listing/2008-porsche-cayman-vwficewe46o?utm_source=autotempest&utm_medium=referral&utm_campaign=autotempest_listings,2008 Porsche Cayman S,"$17,500",Year not shown,Cayman,"132,000 mi.
Jun 20th",2025-08-26T07:00:40.182987,autotempest_real,"2008 Porsche Cayman S Year not shown Cayman $17,500 132,000 mi.
Jun 20th","<html><body>2008 Porsche Cayman S Year not shown Cayman $17,500 132,000 mi.
Jun 20th</body></html>",2025-08-26T07:00:46.817722,success
https://www.autotempest.com/results?make=porsche&model=cayman&year_min=2009&year_max=2012,https://www.hemmings.com/classifieds/listing/2016-porsche-florence-al-2877011?utm_source=autotempest&utm_medium=cpc&utm_campaign=autotempest_classifieds,2016 Porsche Cayman,"$136,978",Year not shown,Cayman,"9,500 mi.
Jun 5th",2025-08-26T07:00:40.221952,autotempest_real,"2016 Porsche Cayman Year not shown Cayman $136,978 9,500 mi.
Jun 5th","<html><body>2016 Porsche Cayman Year not shown Cayman $136,978 9,500 mi.
Jun 5th</body></html>",2025-08-26T07:00:46.817725,success
https://www.autotempest.com/results?make=porsche&model=cayman&year_min=2009&year_max=2012,https://www.cars.com/vehicledetail/c2914b2c-fa82-4959-9887-073ced11c688/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,2014 Porsche Cayman S,"$43,500",Year not shown,Cayman,"84,070 mi.
Today",2025-08-26T07:00:40.270407,autotempest_real,"2014 Porsche Cayman S Year not shown Cayman $43,500 84,070 mi.
Today","<html><body>2014 Porsche Cayman S Year not shown Cayman $43,500 84,070 mi.
Today</body></html>",2025-08-26T07:00:46.817727,success
https://www.autotempest.com/results?make=porsche&model=cayman&year_min=2009&year_max=2012,https://www.cars.com/vehicledetail/1e0d4384-98c4-4bbb-9147-31251e4c610a/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,2010 Porsche Cayman Coupe 2D,"$24,998
 Great Deal
Branded Title",Year not shown,Cayman,"105,449 mi.
Yesterday",2025-08-26T07:00:40.323796,autotempest_real,"2010 Porsche Cayman Coupe 2D Year not shown Cayman $24,998
 Great Deal
Branded Title 105,449 mi.
Yesterday","<html><body>2010 Porsche Cayman Coupe 2D Year not shown Cayman $24,998
 Great Deal
Branded Title 105,449 mi.
Yesterday</body></html>",2025-08-26T07:00:46.817730,success
https://www.autotempest.com/results?make=porsche&model=cayman&year_min=2009&year_max=2012,https://www.cars.com/vehicledetail/543a018b-ca86-4025-8e6d-d3bde3b9a25a/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,2016 Porsche Cayman GT4,"$110,000
 Fair Deal",Year not shown,Cayman,"20,340 mi.
2 days ago",2025-08-26T07:00:40.542889,autotempest_real,"2016 Porsche Cayman GT4 Year not shown Cayman $110,000
 Fair Deal 20,340 mi.
2 days ago","<html><body>2016 Porsche Cayman GT4 Year not shown Cayman $110,000
 Fair Deal 20,340 mi.
2 days ago</body></html>",2025-08-26T07:00:46.817732,success
https://www.autotempest.com/results?make=porsche&model=cayman&year_min=2009&year_max=2012,https://www.cars.com/vehicledetail/d738202c-df1a-4b16-a77f-9cdf7be4a8b0/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,2014 Porsche Cayman,"$37,991",Year not shown,Cayman,"57,126 mi.
2 days ago",2025-08-26T07:00:40.589863,autotempest_real,"2014 Porsche Cayman Year not shown Cayman $37,991 57,126 mi.
2 days ago","<html><body>2014 Porsche Cayman Year not shown Cayman $37,991 57,126 mi.
2 days ago</body></html>",2025-08-26T07:00:46.817734,success
