metric,value
avg_deal_delta,13497.0
best_deal_delta,13497
worst_deal_delta,13497
automatic_percentage,0.0
manual_percentage,0.0
avg_composite_score,1372.1315
total_listings,1
automatic_listings,0
manual_listings,0
