metric,value
avg_deal_delta,-1141.8333333333333
best_deal_delta,27600
worst_deal_delta,-82095
automatic_percentage,0.0
manual_percentage,0.0
avg_composite_score,-85.41213578947368
total_listings,95
automatic_listings,0
manual_listings,0
