metric,value
avg_deal_delta,2457.6
best_deal_delta,21200
worst_deal_delta,-10798
automatic_percentage,0.0
manual_percentage,0.0
avg_composite_score,254.23275
total_listings,16
automatic_listings,0
manual_listings,0
