metric,value
avg_deal_delta,-2450.9333333333334
best_deal_delta,10798
worst_deal_delta,-21200
automatic_percentage,0.0
manual_percentage,0.0
avg_composite_score,-205.94225
total_listings,16
automatic_listings,0
manual_listings,0
