metric,value
avg_deal_delta,-13774.8
best_deal_delta,-11997
worst_deal_delta,-15587
automatic_percentage,0.0
manual_percentage,0.0
avg_composite_score,-1353.7127400000002
total_listings,5
automatic_listings,0
manual_listings,0
