metric,value
avg_deal_delta,4456.7
best_deal_delta,13226
worst_deal_delta,-2227
automatic_percentage,0.0
manual_percentage,0.0
avg_composite_score,470.25733
total_listings,10
automatic_listings,0
manual_listings,0
