metric,value
avg_deal_delta,-1158.5
best_deal_delta,27600
worst_deal_delta,-82095
automatic_percentage,0.0
manual_percentage,0.0
avg_composite_score,-86.96675157894737
total_listings,95
automatic_listings,0
manual_listings,0
