metric,value
avg_deal_delta,-14074.8
best_deal_delta,-12999
worst_deal_delta,-15587
automatic_percentage,0.0
manual_percentage,0.0
avg_composite_score,-1383.2504400000003
total_listings,5
automatic_listings,0
manual_listings,0
