scraping_id,source_url,scraping_status,validation_status,validation_score,scraping_timestamp
37,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2016&minyear=2009&model=caymans&transmission=auto&zip=30214,success,invalid,0,2025-10-27T14:58:23.391464
40,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2016&minyear=2009&model=boxster&transmission=auto&zip=30214,success,invalid,0,2025-10-27T14:58:27.217505
39,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2016&minyear=2009&model=caymans&transmission=auto&zip=30214,success,invalid,0,2025-10-27T14:58:29.426469
41,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2016&minyear=2009&model=boxster&transmission=auto&zip=30214,success,invalid,0,2025-10-27T14:58:32.310067
42,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2016&minyear=2009&model=boxster&transmission=auto&zip=30214,success,invalid,0,2025-10-27T14:58:33.564312
43,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2016&minyear=2009&model=boxster&transmission=auto&zip=30214,success,invalid,0,2025-10-27T14:58:36.536408
44,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2016&minyear=2009&model=boxster&transmission=auto&zip=30214,success,invalid,0,2025-10-27T14:58:38.618635
45,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2016&minyear=2009&model=boxster&transmission=auto&zip=30214,success,invalid,0,2025-10-27T14:58:41.724878
46,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2016&minyear=2009&model=boxster&transmission=auto&zip=30214,success,invalid,0,2025-10-27T14:58:43.058462
47,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2016&minyear=2009&model=boxster&transmission=auto&zip=30214,success,invalid,0,2025-10-27T14:58:45.188923
48,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2016&minyear=2009&model=boxster&transmission=auto&zip=30214,success,invalid,0,2025-10-27T14:58:46.767232
49,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2016&minyear=2009&model=boxster&transmission=auto&zip=30214,success,invalid,0,2025-10-27T14:58:48.993865
50,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2016&minyear=2009&model=boxster&transmission=auto&zip=30214,success,invalid,0,2025-10-27T14:58:51.123181
51,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2016&minyear=2009&model=boxster&transmission=auto&zip=30214,success,invalid,0,2025-10-27T14:58:52.653009
52,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2016&minyear=2009&model=boxster&transmission=auto&zip=30214,success,invalid,0,2025-10-27T14:58:55.030428
