listing_id,source_url,listing_url,canonical_url,vin,is_new,first_seen_at,extraction_timestamp,detection_timestamp,data_quality_score,year,year_confidence,price,price_confidence,mileage,mileage_confidence,model,trim,model_confidence,trim_confidence,exterior,interior,exterior_confidence,interior_confidence,source,source_confidence,total_options,total_options_value,total_options_msrp,options_categories,options_list,rank,asking_price_usd
104,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2016&minyear=2009&model=boxsters&transmission=auto&zip=30214,https://www.cars.com/vehicledetail/e9f12043-a717-4973-968a-6b18da9f2fae/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,https://www.cars.com/vehicledetail/e9f12043-a717-4973-968a-6b18da9f2fae/,WP0CB2A80EK140262,False,2025-10-20T13:48:29.847322,2025-10-27T15:03:54.574597,2025-10-27T15:03:55.899956,1.0,2014,1.0,"$54,132",1.0,"9,954",1.0,Boxster,S,1.0,1.0,Rhodium Silver Metallic,Black,1.0,1.0,AutoTempest,1.0,10,,13948,"performance, exterior, appearance, comfort, seating, technology","Sport Exhaust (PSE), Bi-Xenon Headlights with Dynamic Cornering, 18–19"" Upgraded Wheels, Sport Chrono Package Plus, Sport Steering Wheel, Auto-dim Mirrors & Rain Sensor, Sport Seats / Adaptive Sport Seats, BOSE Surround Sound, PCM w/ Navigation, Heated Seats",17,"$54,132"
108,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2016&minyear=2009&model=boxsters&transmission=auto&zip=30214,https://www.cars.com/vehicledetail/0fc0fddd-dd4e-445b-bfd8-609f003cd7c1/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,https://www.cars.com/vehicledetail/0fc0fddd-dd4e-445b-bfd8-609f003cd7c1/,WP0CB2A83GS140324,False,2025-10-20T13:48:29.847322,2025-10-27T15:03:54.583296,2025-10-27T15:03:55.966152,1.0,2016,1.0,"$58,891",1.0,"35,780",1.0,Boxster,S,1.0,1.0,Carmine Red,Black,1.0,1.0,AutoTempest,1.0,10,,13518,"performance, exterior, convenience, appearance, comfort, seating, technology","Sport Exhaust (PSE), Bi-Xenon Headlights with Dynamic Cornering, 18–19"" Upgraded Wheels, Park Assist, Sport Steering Wheel, Auto-dim Mirrors & Rain Sensor, Sport Seats / Adaptive Sport Seats, BOSE Surround Sound, PCM w/ Navigation, Heated Seats",18,"$58,891"
21,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2016&minyear=2009&model=caymans&transmission=auto&zip=30214,https://www.cars.com/vehicledetail/ec2308a2-45db-492d-a4ce-5e3a35984381/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,https://www.cars.com/vehicledetail/ec2308a2-45db-492d-a4ce-5e3a35984381/,WP0AB29829U780883,False,2025-10-20T11:15:51.768216,2025-10-27T15:03:54.412631,2025-10-27T15:03:54.917425,1.0,2009,1.0,"$39,995",1.0,"64,634",1.0,Cayman,S,1.0,1.0,Black,Black,1.0,1.0,AutoTempest,1.0,9,,13454,"performance, exterior, appearance, seating, technology","Sport Exhaust (PSE), Bi-Xenon Headlights with Dynamic Cornering, 18–19"" Upgraded Wheels, Sport Chrono Package Plus, Sport Steering Wheel, Sport Seats / Adaptive Sport Seats, BOSE Surround Sound, PCM w/ Navigation, Heated Seats",19,"$39,995"
110,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2016&minyear=2009&model=boxsters&transmission=auto&zip=30214,https://www.cars.com/vehicledetail/426044e1-73cc-4236-8bf2-8c013af8b6ac/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,https://www.cars.com/vehicledetail/426044e1-73cc-4236-8bf2-8c013af8b6ac/,WP0CB2A88DS132943,False,2025-10-20T13:48:29.847322,2025-10-27T15:03:54.587711,2025-10-27T15:03:56.007522,1.0,2013,1.0,"$39,451",1.0,"68,468",1.0,Boxster,S,1.0,1.0,Dark Blue Metallic,Luxor Beige,1.0,1.0,AutoTempest,1.0,9,,13024,"performance, exterior, convenience, appearance, seating, technology","Sport Exhaust (PSE), Bi-Xenon Headlights with Dynamic Cornering, 18–19"" Upgraded Wheels, Park Assist, Sport Steering Wheel, Sport Seats / Adaptive Sport Seats, BOSE Surround Sound, PCM w/ Navigation, Heated Seats",20,"$39,451"
25,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2016&minyear=2009&model=caymans&transmission=auto&zip=30214,https://www.cars.com/vehicledetail/852a8561-28f4-4c59-a100-f7795c905e94/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,https://www.cars.com/vehicledetail/852a8561-28f4-4c59-a100-f7795c905e94/,WP0AB2A85EK193756,False,2025-10-20T13:48:29.847322,2025-10-27T15:03:54.421383,2025-10-27T15:03:54.978399,1.0,2014,1.0,"$62,900",1.0,"9,019",1.0,Cayman,S,1.0,1.0,Racing Yellow,Black,1.0,1.0,AutoTempest,1.0,9,,13018,"performance, exterior, convenience, appearance, comfort, seating, technology","Sport Exhaust (PSE), Bi-Xenon Headlights with Dynamic Cornering, 18–19"" Upgraded Wheels, Park Assist, Sport Steering Wheel, Auto-dim Mirrors & Rain Sensor, Sport Seats / Adaptive Sport Seats, BOSE Surround Sound, PCM w/ Navigation",21,"$62,900"
24,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2016&minyear=2009&model=caymans&transmission=auto&zip=30214,https://www.cars.com/vehicledetail/65e517a7-6000-472c-a093-2155bdaec407/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,https://www.cars.com/vehicledetail/65e517a7-6000-472c-a093-2155bdaec407/,WP0AB2A87GK185368,False,2025-10-20T13:48:29.847322,2025-10-27T15:03:54.419090,2025-10-27T15:03:54.961896,1.0,2016,1.0,"$51,990",1.0,"49,282",1.0,Cayman,S,1.0,1.0,White,Black,1.0,1.0,AutoTempest,1.0,9,,12988,"performance, exterior, appearance, comfort, seating, technology","Sport Exhaust (PSE), Bi-Xenon Headlights with Dynamic Cornering, 18–19"" Upgraded Wheels, Sport Steering Wheel, Auto-dim Mirrors & Rain Sensor, Sport Seats / Adaptive Sport Seats, BOSE Surround Sound, PCM w/ Navigation, Heated Seats",22,"$51,990"
49,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2016&minyear=2009&model=boxster&transmission=auto&zip=30214,https://www.cars.com/vehicledetail/cb235f9b-a909-4baa-8f86-8e208b336a62/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,https://www.cars.com/vehicledetail/cb235f9b-a909-4baa-8f86-8e208b336a62/,WP0CA2A80ES121987,False,2025-10-22T09:21:13.237679,2025-10-27T15:03:54.477373,2025-10-27T15:03:55.192579,1.0,2014,1.0,"$27,950",1.0,"50,000",1.0,Boxster,Base,1.0,1.0,White,Beige,1.0,1.0,AutoTempest,1.0,9,,12988,"performance, exterior, appearance, comfort, seating, technology","Sport Exhaust (PSE), Bi-Xenon Headlights with Dynamic Cornering, 18–19"" Upgraded Wheels, Sport Steering Wheel, Auto-dim Mirrors & Rain Sensor, Sport Seats / Adaptive Sport Seats, BOSE Surround Sound, PCM w/ Navigation, Heated Seats",23,"$27,950"
57,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2016&minyear=2009&model=boxster&transmission=auto&zip=30214,https://www.cars.com/vehicledetail/eabb5481-120a-4749-9712-fd48023d6e5e/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,https://www.cars.com/vehicledetail/eabb5481-120a-4749-9712-fd48023d6e5e/,WP0CA2A87DS113240,False,2025-10-20T13:48:29.847322,2025-10-27T15:03:54.494676,2025-10-27T15:03:55.358223,1.0,2013,1.0,"$27,995",1.0,"90,183",1.0,Boxster,Base,1.0,1.0,White,Luxor Beige,1.0,1.0,AutoTempest,1.0,9,,12988,"performance, exterior, appearance, comfort, seating, technology","Sport Exhaust (PSE), Bi-Xenon Headlights with Dynamic Cornering, 18–19"" Upgraded Wheels, Sport Steering Wheel, Auto-dim Mirrors & Rain Sensor, Sport Seats / Adaptive Sport Seats, BOSE Surround Sound, PCM w/ Navigation, Heated Seats",24,"$27,995"
63,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2016&minyear=2009&model=boxster&transmission=auto&zip=30214,https://www.cars.com/vehicledetail/a0c963fc-6ff6-4efb-9286-f72eab60aa0f/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,https://www.cars.com/vehicledetail/a0c963fc-6ff6-4efb-9286-f72eab60aa0f/,WP0CA2A84DK112174,False,2025-10-20T13:48:29.847322,2025-10-27T15:03:54.507061,2025-10-27T15:03:55.450168,1.0,2013,1.0,"$31,998",1.0,"52,669",1.0,Boxster,Base,1.0,1.0,Guards Red,Black,1.0,1.0,AutoTempest,1.0,9,,12988,"performance, exterior, appearance, comfort, seating, technology","Sport Exhaust (PSE), Bi-Xenon Headlights with Dynamic Cornering, 18–19"" Upgraded Wheels, Sport Steering Wheel, Auto-dim Mirrors & Rain Sensor, Sport Seats / Adaptive Sport Seats, BOSE Surround Sound, PCM w/ Navigation, Heated Seats",25,"$31,998"
97,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2016&minyear=2009&model=boxsters&transmission=auto&zip=30214,https://www.cars.com/vehicledetail/dbb49cfa-f3e4-4b80-adc4-75287706c510/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,https://www.cars.com/vehicledetail/dbb49cfa-f3e4-4b80-adc4-75287706c510/,WP0CB2A8XES140821,False,2025-10-26T11:50:39.352645,2025-10-27T15:03:54.559835,2025-10-27T15:03:55.785606,1.0,2014,1.0,"$45,080",1.0,"56,550",1.0,Boxster,S,1.0,1.0,Basalt Black Metallic,Luxor Beige,1.0,1.0,AutoTempest,1.0,9,,12988,"performance, exterior, appearance, comfort, seating, technology","Sport Exhaust (PSE), Bi-Xenon Headlights with Dynamic Cornering, 18–19"" Upgraded Wheels, Sport Steering Wheel, Auto-dim Mirrors & Rain Sensor, Sport Seats / Adaptive Sport Seats, BOSE Surround Sound, PCM w/ Navigation, Heated Seats",26,"$45,080"
